"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"clpP_1",5837.95568944022,-0.794553427885689,0.102897277330058,-7.72181197114715,1.14687494583442e-14,2.83513185367765e-14
"mtnN",4533.02949795981,-0.793497702120184,0.105269049542872,-7.53780627417007,4.77943152865146e-14,1.15285681721411e-13
"gatC_3",1089.10656593834,-0.792268701021978,0.160799097547783,-4.92707181261727,8.34710827622473e-07,1.51350755988038e-06
"ponA_1",16128.4984482263,-0.792225148429392,0.0963924836938128,-8.21874401479129,2.05645462924182e-16,5.36700945861145e-16
"wbbD",4896.83202648767,-0.792195299558609,0.103448518073386,-7.65786996577977,1.89042146166059e-14,4.62296615509011e-14
"gluP",860.703303263261,-0.791283295733355,0.175121291008432,-4.51848710785975,6.2283065011072e-06,1.07542992947534e-05
"gmuD_2",664.171497024383,-0.781634531301512,0.183893773744655,-4.25046762261157,2.13324672426286e-05,3.59759405193482e-05
"mutS_1",11446.6697713042,-0.775845819836307,0.0948544278216817,-8.17933161006286,2.85422628099427e-16,7.38850120218355e-16
"truA",1651.46720138883,-0.77542308843526,0.138219764031009,-5.61007388394395,2.02240253557061e-08,3.91686719784478e-08
"gph_2",1563.00288996727,-0.77411155371518,0.135121610133036,-5.72899888443466,1.01025059123425e-08,1.98803330190968e-08
"glcB",668.066882381502,-0.773308120404037,0.183335269236621,-4.21799975326062,2.46479089063307e-05,4.13047062935563e-05
"mro_1",835.971744257532,-0.767395366017813,0.165614143212401,-4.63363424845683,3.59301569405421e-06,6.27890338631647e-06
"pflB",8756.15227505157,-0.761520567364722,0.123532633368392,-6.1645295384723,7.06930005623246e-10,1.45592829101191e-09
"dnaC",5923.04691440035,-0.760792544045115,0.0996745825579534,-7.63276378511814,2.29773664528462e-14,5.58472784624903e-14
"rfbC",6264.84020627767,-0.759462621052344,0.0997375381393256,-7.61461166197459,2.64485448190619e-14,6.40884069283814e-14
"ygfA",937.079591049827,-0.758826068694385,0.160257090956723,-4.7350545561775,2.18996182409238e-06,3.87810814677984e-06
"rpiR",775.112629198656,-0.757199658533212,0.167832837221422,-4.51162997104219,6.43313445119049e-06,1.10959372115875e-05
"recD2",6524.60289395476,-0.754698302444975,0.10730575701481,-7.03315761838213,2.01911052574365e-12,4.63841840834616e-12
"glpQ_1",3252.82537028392,-0.753440646714507,0.11037935628089,-6.82591991927528,8.73636562259751e-12,1.95615950368147e-11
"yycI",5648.55623818926,-0.751719888742497,0.105424905134763,-7.1303824061457,1.00090456073916e-12,2.32279892229846e-12
"rodA",12272.8429734502,-0.750760907273656,0.105488689500745,-7.11698013148941,1.1031738147992e-12,2.55269289703537e-12
"nrdG",1938.96523887037,-0.750547525788869,0.128300079513131,-5.84993811879948,4.91755930153076e-09,9.84748982143015e-09
"cbh_1",93.2631102910637,-0.74325712034603,0.430734750561349,-1.72555643438889,0.0844272427235161,0.105833205051841
"luxS",12663.074361961,-0.737583980590349,0.0939516230704148,-7.8506784288074,4.13792703741755e-15,1.03578299427181e-14
"pspB_1",2718.26822514495,-0.737205137630328,0.117510063366894,-6.27354897536394,3.52909849333495e-10,7.34421542665261e-10
"yohK",843.962980004426,-0.737095352118253,0.168676288340723,-4.36988126410118,1.24314113028956e-05,2.11893006361989e-05
"artM_3",28389.5214494016,-0.735924724442025,0.0901648478256087,-8.1619915320592,3.29545309355403e-16,8.51472563873428e-16
"nagB",1282.11319338811,-0.734707862018851,0.153194594065185,-4.79591245697762,1.61935995129986e-06,2.89015811936028e-06
"epsN",3987.73398596148,-0.732985419544161,0.108552667171084,-6.7523483176046,1.45471116575021e-11,3.22998629829055e-11
"rsmA_2",4179.55038361275,-0.727124288836295,0.107894049366992,-6.73924366637722,1.59213207524704e-11,3.52527714018537e-11
"yecD_3",787.335718002775,-0.72577775494318,0.179487051531944,-4.04362180306922,5.26317936319134e-05,8.63812530536146e-05
"metK",11459.7234785942,-0.725703737032443,0.0942045143228474,-7.70349215479622,1.32397238194621e-14,3.252722271695e-14
"rapA",14532.406961866,-0.722814861795437,0.101848062345401,-7.09699178511741,1.27501634239958e-12,2.94604646894069e-12
"parB",6471.61166421285,-0.719919350755512,0.112426004840155,-6.40349491898318,1.5185991151816e-10,3.22778343306957e-10
"gcvH",3844.13848781058,-0.719043914612351,0.11278704577088,-6.37523493675903,1.82682688356303e-10,3.86743138116002e-10
"ansA",1899.23034498656,-0.714401803934581,0.128101057173718,-5.57686111025439,2.44897241736684e-08,4.72005337584505e-08
"comC",48.6032049922424,-0.709351478355294,0.611983398591458,-1.15910248543986,0.246414412910338,0.291450033694843
"xynB",201.75609988267,-0.708938041519993,0.311772389612037,-2.27389616637375,0.0229722302588786,0.0308622705250082
"galM_2",5102.22054327798,-0.708388746942067,0.12162542652056,-5.82434748397218,5.73361706335481e-09,1.1438494191555e-08
"xerD_4",292.382065294797,-0.706266401116725,0.259151571107251,-2.72530240931641,0.00642426159464055,0.00909104396326023
"dtd3_2",2003.21148394886,-0.704023949483358,0.137347509422332,-5.12585887028023,2.96184415114384e-07,5.47013444155568e-07
"dtpT_2",3413.33643468739,-0.702447547684454,0.12852103856741,-5.46562302572755,4.61283729016861e-08,8.77375981594795e-08
"rnhB",2586.88896145654,-0.701148069894085,0.119573767981396,-5.86372815485062,4.52588232859001e-09,9.09748064029708e-09
"corC_2",14616.2959851813,-0.701093705933793,0.094634711517405,-7.40842017365741,1.27812808414757e-13,3.03245888221004e-13
"gor",11131.5208038843,-0.699223606959955,0.092951857887979,-7.52242744628758,5.3768456786448e-14,1.29304204235688e-13
"mraY",7429.11876924739,-0.695192946392733,0.0968429597323597,-7.17855947726097,7.04497420821357e-13,1.64210819026003e-12
"engB",6821.65455448145,-0.693267039324144,0.0995745088055103,-6.96229434260367,3.34775111880413e-12,7.61374254448026e-12
"fnr",840.188477444587,-0.692377818716691,0.163619708372717,-4.23162848536248,2.32005399890154e-05,3.90023861272572e-05
"mfd",14838.4769838972,-0.692051346027948,0.0938149180244305,-7.37677291204082,1.6217226734282e-13,3.83622956329525e-13
"ywqC",3263.24991240051,-0.689323705060474,0.113926162066278,-6.05061815967656,1.44291084537671e-09,2.95638875912448e-09
"lacE_1",48.9350203967301,-0.689246427117011,0.589834499676694,-1.16854206984299,0.242588179901557,0.287994319465532
"betI",455.377516667366,-0.688844139701453,0.211644260185094,-3.25472629921087,0.00113501693278105,0.00168558484793604
"galM_1",355.693554207744,-0.687716555173961,0.236928246199484,-2.90263641505594,0.00370035962463679,0.00530240551073066
"metE",2349.55704944443,-0.687694431474684,0.120338500111832,-5.71466680102877,1.09919184663526e-08,2.1603869380782e-08
"treR",1919.03654795922,-0.687210067133378,0.125827141087651,-5.46154081856368,4.7201968450754e-08,8.96724746701674e-08
"ykuL",2812.16876701438,-0.686071324154264,0.114517709468629,-5.99096268461611,2.08602504139134e-09,4.25217908565304e-09
